Id,Date,Category,Title,Amount,Description
60,2/27/2025,lifestyle,Bag,900,Bought new backpack
61,2/28/2025,saving and investment,Fixed Deposit,3000,Added to savings
62,3/1/2025,housing,Electricity Bill,1000,Monthly electricity bill
63,3/2/2025,transportation,Fuel,1200,Fuel for car
64,3/3/2025,others,Postage,100,Mailing documents
65,3/4/2025,food,Groceries,2000,Monthly grocery shopping
66,3/5/2025,health,Vitamins,500,Multivitamin supplements
67,3/6/2025,education,Online Subscription,600,Coursera subscription
68,3/7/2025,entertainment,Concert,1000,Live band performance
69,3/8/2025,lifestyle,Shoes,1500,Bought formal shoes
70,3/9/2025,saving and investment,Stocks,2500,Invested in tech company
71,3/10/2025,housing,Water Bill,400,Monthly water bill
72,3/11/2025,transportation,Bus Pass,300,Monthly bus pass
73,3/12/2025,others,Gift,800,Wedding gift
74,3/13/2025,food,Restaurant,1100,Dinner with friends
75,3/14/2025,health,Dental Cleaning,700,Teeth cleaning session
76,3/15/2025,education,Books,900,Reference books
77,3/16/2025,entertainment,Museum,400,Visit to national museum
78,3/17/2025,lifestyle,Clothing,2000,Bought traditional dress
79,3/18/2025,saving and investment,Savings,3000,Added to savings account
80,3/19/2025,housing,Repair,600,Fixed leaking pipe
81,3/20/2025,transportation,Taxi,500,Taxi to office
82,3/21/2025,others,Stationery,200,Pens and notebooks
83,3/22/2025,food,Coffee,250,Coffee at Cafe Soma
84,3/23/2025,health,Checkup,1000,Routine health checkup
85,3/24/2025,education,Workshop,1200,Attended AI workshop
86,3/25/2025,entertainment,Movie,500,Movie at Cineplex
87,3/26/2025,lifestyle,Gym Gear,800,Bought gym accessories
88,3/27/2025,saving and investment,Mutual Fund,2000,Invested in mutual fund
89,3/28/2025,housing,Internet,1200,Monthly internet bill
90,3/29/2025,transportation,Fuel,1000,Fuel for scooter
91,3/30/2025,others,Charity,700,Donation to orphanage
92,3/31/2025,food,Groceries,1500,Weekly grocery shopping
93,4/1/2025,health,Medicines,600,Allergy medication
94,4/2/2025,education,Online Course,2500,Enrolled in data science course
95,4/3/2025,entertainment,Concert,900,Local band concert
96,4/4/2025,lifestyle,Watch,1200,Bought smartwatch
97,4/5/2025,saving and investment,Fixed Deposit,4000,Deposited in savings
98,4/6/2025,housing,Rent,12000,Monthly apartment rent
99,4/7/2025,transportation,Bus Fare,200,Bus to Bhaktapur
100,4/8/2025,others,Gift,500,Gift for family
101,4/9/2025,food,Restaurant,800,Lunch at local cafe
102,4/10/2025,health,Yoga Classes,1000,Monthly yoga fee
103,4/11/2025,education,Books,1500,Academic books
104,4/12/2025,entertainment,Theater,600,Local play tickets
105,4/13/2025,lifestyle,Clothing,2000,Bought summer clothes
106,4/14/2025,saving and investment,Stocks,3000,Invested in bank stocks
107,4/15/2025,housing,Utilities,1200,Electricity and water bill
108,4/16/2025,transportation,Taxi,400,Taxi to meeting
109,4/17/2025,others,Repair,700,Laptop repair
110,4/18/2025,food,Groceries,1800,Monthly grocery shopping
111,4/19/2025,health,Checkup,900,General health checkup
112,4/20/2025,education,Stationery,300,Notebooks and pens
113,4/21/2025,entertainment,Streaming,300,Disney+ subscription
114,4/22/2025,lifestyle,Shoes,1500,Bought casual shoes
115,4/23/2025,saving and investment,Savings,2500,Added to emergency fund
116,4/24/2025,housing,Cleaning Supplies,400,Household cleaning items
117,4/25/2025,transportation,Bicycle,2000,New bicycle purchase
118,4/26/2025,others,Donation,600,Charity for school
119,4/27/2025,food,Dinner,1000,Dinner at restaurant
120,4/28/2025,health,Physiotherapy,1200,Session for knee pain
121,4/29/2025,education,Exam Fee,700,College exam fee
122,4/30/2025,entertainment,Festival,500,Local festival ticket
123,5/1/2025,lifestyle,Bag,900,Bought travel bag
124,5/2/2025,saving and investment,Mutual Fund,3000,Invested in mutual fund
125,5/3/2025,housing,Internet Bill,1200,Monthly internet subscription
126,5/4/2025,transportation,Fuel,1100,Fuel for motorbike
127,5/5/2025,others,Gift,400,Birthday gift
128,5/6/2025,food,Coffee,250,Coffee at local cafe
129,5/7/2025,health,Health Insurance,2000,Annual premium
130,5/8/2025,education,Tutoring,1000,Science tutoring
131,5/9/2025,entertainment,Game Night,500,Board game night
132,5/10/2025,lifestyle,Watch,1200,Bought new watch
133,5/11/2025,saving and investment,Bonds,3500,Government bonds
134,5/12/2025,housing,Furniture,2500,New sofa
135,5/13/2025,transportation,Car Maintenance,1800,Car servicing
136,5/14/2025,others,Pet Supplies,500,Pet food
137,5/15/2025,food,Lunch,600,Lunch at cafe
138,5/16/2025,health,Dental Checkup,800,Dental cleaning
139,5/17/2025,education,Books,1000,Reference books
140,5/18/2025,entertainment,Museum,400,Museum visit
141,5/19/2025,lifestyle,Clothing,1500,Bought new shirt
142,5/20/2025,saving and investment,Savings,2000,Added to savings
143,5/21/2025,housing,Repair,600,Fixed window
144,5/22/2025,transportation,Taxi,500,Taxi to station
145,5/23/2025,others,Stationery,200,Office supplies
146,5/24/2025,food,Groceries,1600,Weekly grocery shopping
147,5/25/2025,health,Medicines,700,Prescription medicine
148,5/26/2025,education,Online Course,2000,Enrolled in coding course
149,5/27/2025,entertainment,Concert,900,Live music event
150,5/28/2025,lifestyle,Shoes,1200,Bought sneakers
151,5/29/2025,saving and investment,Fixed Deposit,3000,Deposited in savings
152,5/30/2025,housing,Electricity Bill,1000,Monthly electricity bill
153,5/31/2025,transportation,Fuel,1100,Fuel for car
154,6/1/2025,others,Charity,600,Donation to NGO
155,6/2/2025,food,Restaurant,800,Dinner at local restaurant
156,6/3/2025,health,Yoga Classes,1000,Monthly yoga membership
157,6/4/2025,education,Books,1200,Academic books
158,6/5/2025,entertainment,Theater,700,Theater tickets
159,6/6/2025,lifestyle,Clothing,1800,Bought winter clothes
160,6/7/2025,saving and investment,Stocks,2500,Invested in stocks
161,6/8/2025,housing,Utilities,1200,Water and electricity bill
162,6/9/2025,transportation,Bus Fare,200,Bus to Kathmandu
163,6/10/2025,others,Gift,500,Gift for friend
164,6/11/2025,food,Coffee,250,Coffee at Cafe Soma
165,6/12/2025,health,Checkup,900,General checkup
166,6/13/2025,education,Stationery,300,Notebooks and pens
167,6/14/2025,entertainment,Streaming,300,Netflix subscription
168,6/15/2025,lifestyle,Bag,900,Bought new backpack
169,6/16/2025,saving and investment,Savings,2000,Added to emergency fund
170,6/17/2025,housing,Cleaning Supplies,400,Household cleaning items
171,6/18/2025,transportation,Taxi,400,Taxi to airport
172,6/19/2025,others,Repair,600,Phone repair
173,6/20/2025,food,Groceries,1500,Weekly grocery shopping
174,6/21/2025,health,Medicines,600,Allergy medication
175,6/22/2025,education,Online Course,2500,Data science course
176,6/23/2025,entertainment,Concert,900,Local band concert
177,6/24/2025,lifestyle,Watch,1200,Bought smartwatch
178,6/25/2025,saving and investment,Fixed Deposit,4000,Deposited in savings
179,6/26/2025,housing,Rent,12000,Monthly apartment rent
180,6/27/2025,transportation,Bus Fare,200,Bus to Bhaktapur
181,6/28/2025,others,Gift,500,Gift for family
182,6/29/2025,food,Restaurant,800,Lunch at local cafe
183,6/30/2025,health,Yoga Classes,1000,Monthly yoga fee
184,7/1/2025,education,Books,1500,Academic books
185,7/2/2025,entertainment,Theater,600,Local play tickets
186,7/3/2025,lifestyle,Clothing,2000,Bought summer clothes
187,7/4/2025,saving and investment,Stocks,3000,Invested in bank stocks
188,7/5/2025,housing,Utilities,1200,Electricity and water bill
189,7/6/2025,transportation,Taxi,400,Taxi to meeting
190,7/7/2025,others,Repair,700,Laptop repair
191,7/8/2025,food,Groceries,1800,Monthly grocery shopping
192,7/9/2025,health,Checkup,900,General health checkup
193,7/10/2025,education,Stationery,300,Notebooks and pens
194,7/11/2025,entertainment,Streaming,300,Disney+ subscription
195,7/12/2025,lifestyle,Shoes,1500,Bought casual shoes
196,7/13/2025,saving and investment,Savings,2500,Added to emergency fund
197,7/14/2025,housing,Cleaning Supplies,400,Household cleaning items
198,7/15/2025,transportation,Bicycle,2000,New bicycle purchase
199,7/16/2025,others,Donation,600,Charity for school
200,7/17/2025,food,Dinner,1000,Dinner at restaurant
201,7/18/2025,health,Physiotherapy,1200,Session for knee pain
202,7/19/2025,education,Exam Fee,700,College exam fee
203,7/20/2025,entertainment,Festival,500,Local festival ticket
204,7/21/2025,lifestyle,Bag,900,Bought travel bag
205,7/22/2025,saving and investment,Mutual Fund,3000,Invested in mutual fund
206,7/23/2025,housing,Internet Bill,1200,Monthly internet subscription
207,7/24/2025,transportation,Fuel,1100,Fuel for motorbike
208,7/25/2025,others,Gift,400,Birthday gift
209,7/26/2025,food,Coffee,250,Coffee at local cafe
210,7/27/2025,health,Health Insurance,2000,Annual premium
211,7/28/2025,education,Tutoring,1000,Science tutoring
212,7/29/2025,entertainment,Game Night,500,Board game night
213,7/30/2025,lifestyle,Watch,1200,Bought new watch
214,7/31/2025,saving and investment,Bonds,3500,Government bonds
215,8/1/2025,housing,Furniture,2500,New sofa
216,8/2/2025,transportation,Car Maintenance,1800,Car servicing
217,8/3/2025,others,Pet Supplies,500,Pet food
218,8/4/2025,food,Lunch,600,Lunch at cafe
219,8/5/2025,health,Dental Checkup,800,Dental cleaning
220,8/6/2025,education,Books,1000,Reference books
221,8/7/2025,entertainment,Museum,400,Museum visit
222,8/8/2025,lifestyle,Clothing,1500,Bought new shirt
223,8/9/2025,saving and investment,Savings,2000,Added to savings
224,8/10/2025,housing,Repair,600,Fixed window
225,8/11/2025,transportation,Taxi,500,Taxi to station
226,8/12/2025,others,Stationery,200,Office supplies
227,8/13/2025,food,Groceries,1600,Weekly grocery shopping
228,8/14/2025,health,Medicines,700,Prescription medicine
229,8/15/2025,education,Online Course,2000,Enrolled in coding course
230,8/16/2025,entertainment,Concert,900,Live music event
231,8/17/2025,lifestyle,Shoes,1200,Bought sneakers
232,8/18/2025,saving and investment,Fixed Deposit,3000,Deposited in savings
233,8/19/2025,housing,Electricity Bill,1000,Monthly electricity bill
234,8/20/2025,transportation,Fuel,1100,Fuel for car
235,8/21/2025,others,Charity,600,Donation to NGO
236,8/22/2025,food,Restaurant,800,Dinner at local restaurant
237,8/23/2025,health,Yoga Classes,1000,Monthly yoga membership
238,8/24/2025,education,Books,1200,Academic books
239,8/25/2025,entertainment,Theater,700,Theater tickets
240,8/26/2025,lifestyle,Clothing,1800,Bought winter clothes
241,8/27/2025,saving and investment,Stocks,2500,Invested in stocks
242,8/28/2025,housing,Utilities,1200,Water and electricity bill
243,8/29/2025,transportation,Bus Fare,200,Bus to Kathmandu
244,8/30/2025,others,Gift,500,Gift for friend
245,8/31/2025,food,Coffee,250,Coffee at Cafe Soma
246,9/1/2025,health,Checkup,900,General checkup
247,9/2/2025,education,Stationery,300,Notebooks and pens
248,9/3/2025,entertainment,Streaming,300,Netflix subscription
249,9/4/2025,lifestyle,Bag,900,Bought new backpack
250,9/5/2025,saving and investment,Savings,2000,Added to emergency fund
251,9/6/2025,housing,Cleaning Supplies,400,Household cleaning items
252,9/7/2025,transportation,Taxi,400,Taxi to airport
253,9/8/2025,others,Repair,600,Phone repair
254,9/9/2025,food,Groceries,1500,Weekly grocery shopping
255,9/10/2025,health,Medicines,600,Allergy medication
256,9/11/2025,education,Online Course,2500,Data science course
257,9/12/2025,entertainment,Concert,900,Local band concert
258,9/13/2025,lifestyle,Watch,1200,Bought smartwatch
259,9/14/2025,saving and investment,Fixed Deposit,4000,Deposited in savings
260,9/15/2025,housing,Rent,12000,Monthly apartment rent
261,9/16/2025,transportation,Bus Fare,200,Bus to Bhaktapur
262,9/17/2025,others,Gift,500,Gift for family
263,9/18/2025,food,Restaurant,800,Lunch at local cafe
264,9/19/2025,health,Yoga Classes,1000,Monthly yoga fee
265,9/20/2025,education,Books,1500,Academic books
266,9/21/2025,entertainment,Theater,600,Local play tickets
267,9/22/2025,lifestyle,Clothing,2000,Bought summer clothes
268,9/23/2025,saving and investment,Stocks,3000,Invested in bank stocks
269,9/24/2025,housing,Utilities,1200,Electricity and water bill
270,9/25/2025,transportation,Taxi,400,Taxi to meeting
271,9/26/2025,others,Repair,700,Laptop repair
272,9/27/2025,food,Groceries,1800,Monthly grocery shopping
273,9/28/2025,health,Checkup,900,General health checkup
274,9/29/2025,education,Stationery,300,Notebooks and pens
275,9/30/2025,entertainment,Streaming,300,Disney+ subscription
276,10/1/2025,lifestyle,Shoes,1500,Bought casual shoes
277,10/2/2025,saving and investment,Savings,2500,Added to emergency fund
278,10/3/2025,housing,Cleaning Supplies,400,Household cleaning items
279,10/4/2025,transportation,Bicycle,2000,New bicycle purchase
280,10/5/2025,others,Donation,600,Charity for school
281,10/6/2025,food,Dinner,1000,Dinner at restaurant
282,10/7/2025,health,Physiotherapy,1200,Session for knee pain
283,10/8/2025,education,Exam Fee,700,College exam fee
284,10/9/2025,entertainment,Festival,500,Local festival ticket
285,10/10/2025,lifestyle,Bag,900,Bought travel bag
286,10/11/2025,saving and investment,Mutual Fund,3000,Invested in mutual fund
287,10/12/2025,housing,Internet Bill,1200,Monthly internet subscription
288,10/13/2025,transportation,Fuel,1100,Fuel for motorbike
289,10/14/2025,others,Gift,400,Birthday gift
290,10/15/2025,food,Coffee,250,Coffee at local cafe
291,10/16/2025,health,Health Insurance,2000,Annual premium
292,10/17/2025,education,Tutoring,1000,Science tutoring
293,10/18/2025,entertainment,Game Night,500,Board game night
294,10/19/2025,lifestyle,Watch,1200,Bought new watch
295,10/20/2025,saving and investment,Bonds,3500,Government bonds
296,10/21/2025,housing,Furniture,2500,New sofa
297,10/22/2025,transportation,Car Maintenance,1800,Car servicing
298,10/23/2025,others,Pet Supplies,500,Pet food
299,10/24/2025,food,Lunch,600,Lunch at cafe
300,10/25/2025,health,Dental Checkup,800,Dental cleaning
301,10/26/2025,education,Books,1000,Reference books
302,10/27/2025,entertainment,Museum,400,Museum visit
303,10/28/2025,lifestyle,Clothing,1500,Bought new shirt
304,10/29/2025,saving and investment,Savings,2000,Added to savings
305,10/30/2025,housing,Repair,600,Fixed window
306,10/31/2025,transportation,Taxi,500,Taxi to station
307,11/1/2025,others,Stationery,200,Office supplies
308,11/2/2025,food,Groceries,1600,Weekly grocery shopping
309,11/3/2025,health,Medicines,700,Prescription medicine
310,11/4/2025,education,Online Course,2000,Enrolled in coding course
311,11/5/2025,entertainment,Concert,900,Live music event
312,11/6/2025,lifestyle,Shoes,1200,Bought sneakers
313,11/7/2025,saving and investment,Fixed Deposit,3000,Deposited in savings
314,11/8/2025,housing,Electricity Bill,1000,Monthly electricity bill
315,11/9/2025,transportation,Fuel,1100,Fuel for car
316,11/10/2025,others,Charity,600,Donation to NGO
317,11/11/2025,food,Restaurant,800,Dinner at local restaurant
318,11/12/2025,health,Yoga Classes,1000,Monthly yoga membership
319,11/13/2025,education,Books,1200,Academic books
320,11/14/2025,entertainment,Theater,700,Theater tickets
321,11/15/2025,lifestyle,Clothing,1800,Bought winter clothes
322,11/16/2025,saving and investment,Stocks,2500,Invested in stocks
323,11/17/2025,housing,Utilities,1200,Water and electricity bill
324,11/18/2025,transportation,Bus Fare,200,Bus to Kathmandu
325,11/19/2025,others,Gift,500,Gift for friend
326,11/20/2025,food,Coffee,250,Coffee at Cafe Soma
327,11/21/2025,health,Checkup,900,General checkup
328,11/22/2025,education,Stationery,300,Notebooks and pens
329,11/23/2025,entertainment,Streaming,300,Netflix subscription
330,11/24/2025,lifestyle,Bag,900,Bought new backpack
331,11/25/2025,saving and investment,Savings,2000,Added to emergency fund
332,11/26/2025,housing,Cleaning Supplies,400,Household cleaning items
333,11/27/2025,transportation,Taxi,400,Taxi to airport
334,11/28/2025,others,Repair,600,Phone repair
335,11/29/2025,food,Groceries,1500,Weekly grocery shopping
336,11/30/2025,health,Medicines,600,Allergy medication
337,12/1/2025,education,Online Course,2500,Data science course
338,12/2/2025,entertainment,Concert,900,Local band concert
339,12/3/2025,lifestyle,Watch,1200,Bought smartwatch
340,12/4/2025,saving and investment,Fixed Deposit,4000,Deposited in savings
341,12/5/2025,housing,Rent,12000,Monthly apartment rent
342,12/6/2025,transportation,Bus Fare,200,Bus to Bhaktapur
343,12/7/2025,others,Gift,500,Gift for family
344,12/8/2025,food,Restaurant,800,Lunch at local cafe
345,12/9/2025,health,Yoga Classes,1000,Monthly yoga fee
346,12/10/2025,education,Books,1500,Academic books
347,12/11/2025,entertainment,Theater,600,Local play tickets
348,12/12/2025,lifestyle,Clothing,2000,Bought summer clothes
349,12/13/2025,saving and investment,Stocks,3000,Invested in bank stocks
350,12/14/2025,housing,Utilities,1200,Electricity and water bill
351,12/15/2025,transportation,Taxi,400,Taxi to meeting
352,12/16/2025,others,Repair,700,Laptop repair
353,12/17/2025,food,Groceries,1800,Monthly grocery shopping
354,12/18/2025,health,Checkup,900,General health checkup
355,12/19/2025,education,Stationery,300,Notebooks and pens
356,12/20/2025,entertainment,Streaming,300,Disney+ subscription
357,12/21/2025,lifestyle,Shoes,1500,Bought casual shoes
358,12/22/2025,saving and investment,Savings,2500,Added to emergency fund
359,12/23/2025,housing,Cleaning Supplies,400,Household cleaning items
360,12/24/2025,transportation,Bicycle,2000,New bicycle purchase
361,12/25/2025,others,Donation,600,Charity for school
362,12/26/2025,food,Dinner,1000,Dinner at restaurant
363,12/27/2025,health,Physiotherapy,1200,Session for knee pain
364,12/28/2025,education,Exam Fee,700,College exam fee
365,12/29/2025,entertainment,Festival,500,Local festival ticket
366,12/30/2025,lifestyle,Bag,900,Bought travel bag
367,12/31/2025,saving and investment,Mutual Fund,3000,Invested in mutual fund
368,1/1/2026,housing,Internet Bill,1200,Monthly internet subscription
369,1/2/2026,transportation,Fuel,1100,Fuel for motorbike
370,1/3/2026,others,Gift,400,Birthday gift
371,1/4/2026,food,Coffee,250,Coffee at local cafe
372,1/5/2026,health,Health Insurance,2000,Annual premium
373,1/6/2026,education,Tutoring,1000,Science tutoring
374,1/7/2026,entertainment,Game Night,500,Board game night
375,1/8/2026,lifestyle,Watch,1200,Bought new watch
376,1/9/2026,saving and investment,Bonds,3500,Government bonds
377,1/10/2026,housing,Furniture,2500,New sofa
378,1/11/2026,transportation,Car Maintenance,1800,Car servicing
379,1/12/2026,others,Pet Supplies,500,Pet food
380,1/13/2026,food,Lunch,600,Lunch at cafe
381,1/14/2026,health,Dental Checkup,800,Dental cleaning
382,1/15/2026,education,Books,1000,Reference books
383,1/16/2026,entertainment,Museum,400,Museum visit
384,1/17/2026,lifestyle,Clothing,1500,Bought new shirt
385,1/18/2026,saving and investment,Savings,2000,Added to savings
386,1/19/2026,housing,Repair,600,Fixed window
387,1/20/2026,transportation,Taxi,500,Taxi to station
388,1/21/2026,others,Stationery,200,Office supplies
389,1/22/2026,food,Groceries,1600,Weekly grocery shopping
390,1/23/2026,health,Medicines,700,Prescription medicine
391,1/24/2026,education,Online Course,2000,Enrolled in coding course
392,1/25/2026,entertainment,Concert,900,Live music event
393,1/26/2026,lifestyle,Shoes,1200,Bought sneakers
394,1/27/2026,saving and investment,Fixed Deposit,3000,Deposited in savings
395,1/28/2026,housing,Electricity Bill,1000,Monthly electricity bill
396,1/29/2026,transportation,Fuel,1100,Fuel for car
397,1/30/2026,others,Charity,600,Donation to NGO
398,1/31/2026,food,Restaurant,800,Dinner at local restaurant
399,2/1/2026,health,Yoga Classes,1000,Monthly yoga membership
400,2/2/2026,education,Books,1200,Academic books
401,2/3/2026,entertainment,Theater,700,Theater tickets
402,2/4/2026,lifestyle,Clothing,1800,Bought winter clothes
403,2/5/2026,saving and investment,Stocks,2500,Invested in stocks
404,2/6/2026,housing,Utilities,1200,Water and electricity bill
405,2/7/2026,transportation,Bus Fare,200,Bus to Kathmandu
406,2/8/2026,others,Gift,500,Gift for friend
407,2/9/2026,food,Coffee,250,Coffee at Cafe Soma
408,2/10/2026,health,Checkup,900,General checkup
409,2/11/2026,education,Stationery,300,Notebooks and pens
410,2/12/2026,entertainment,Streaming,300,Netflix subscription
411,2/13/2026,lifestyle,Bag,900,Bought new backpack
412,2/14/2026,saving and investment,Savings,2000,Added to emergency fund
413,2/15/2026,housing,Cleaning Supplies,400,Household cleaning items
414,2/16/2026,transportation,Taxi,400,Taxi to airport
415,2/17/2026,others,Repair,600,Phone repair
416,2/18/2026,food,Groceries,1500,Weekly grocery shopping
417,2/19/2026,health,Medicines,600,Allergy medication
418,2/20/2026,education,Online Course,2500,Data science course
419,2/21/2026,entertainment,Concert,900,Local band concert
420,2/22/2026,lifestyle,Watch,1200,Bought smartwatch
421,2/23/2026,saving and investment,Fixed Deposit,4000,Deposited in savings
422,2/24/2026,housing,Rent,12000,Monthly apartment rent
423,2/25/2026,transportation,Bus Fare,200,Bus to Bhaktapur
424,2/26/2026,others,Gift,500,Gift for family
425,2/27/2026,food,Restaurant,800,Lunch at local cafe
426,2/28/2026,health,Yoga Classes,1000,Monthly yoga fee
427,3/1/2026,education,Books,1500,Academic books
428,3/2/2026,entertainment,Theater,600,Local play tickets
429,3/3/2026,lifestyle,Clothing,2000,Bought summer clothes
430,3/4/2026,saving and investment,Stocks,3000,Invested in bank stocks
431,3/5/2026,housing,Utilities,1200,Electricity and water bill
432,3/6/2026,transportation,Taxi,400,Taxi to meeting
433,3/7/2026,others,Repair,700,Laptop repair
434,3/8/2026,food,Groceries,1800,Monthly grocery shopping
435,3/9/2026,health,Checkup,900,General health checkup
436,3/10/2026,education,Stationery,300,Notebooks and pens
437,3/11/2026,entertainment,Streaming,300,Disney+ subscription
438,3/12/2026,lifestyle,Shoes,1500,Bought casual shoes
439,3/13/2026,saving and investment,Savings,2500,Added to emergency fund
440,3/14/2026,housing,Cleaning Supplies,400,Household cleaning items
441,3/15/2026,transportation,Bicycle,2000,New bicycle purchase
442,3/16/2026,others,Donation,600,Charity for school
443,3/17/2026,food,Dinner,1000,Dinner at restaurant
444,3/18/2026,health,Physiotherapy,1200,Session for knee pain
445,3/19/2026,education,Exam Fee,700,College exam fee
446,3/20/2026,entertainment,Festival,500,Local festival ticket
447,3/21/2026,lifestyle,Bag,900,Bought travel bag
448,3/22/2026,saving and investment,Mutual Fund,3000,Invested in mutual fund
449,3/23/2026,housing,Internet Bill,1200,Monthly internet subscription
450,3/24/2026,transportation,Fuel,1100,Fuel for motorbike
451,3/25/2026,others,Gift,400,Birthday gift
452,3/26/2026,food,Coffee,250,Coffee at local cafe
453,3/27/2026,health,Health Insurance,2000,Annual premium
454,3/28/2026,education,Tutoring,1000,Science tutoring
455,3/29/2026,entertainment,Game Night,500,Board game night
456,3/30/2026,lifestyle,Watch,1200,Bought new watch
457,3/31/2026,saving and investment,Bonds,3500,Government bonds
458,4/1/2026,housing,Furniture,2500,New sofa
459,4/2/2026,transportation,Car Maintenance,1800,Car servicing
460,4/3/2026,others,Pet Supplies,500,Pet food
461,4/4/2026,food,Lunch,600,Lunch at cafe
462,4/5/2026,health,Dental Checkup,800,Dental cleaning
463,4/6/2026,education,Books,1000,Reference books
464,4/7/2026,entertainment,Museum,400,Museum visit
465,4/8/2026,lifestyle,Clothing,1500,Bought new shirt
466,4/9/2026,saving and investment,Savings,2000,Added to savings
467,4/10/2026,housing,Repair,600,Fixed window
468,4/11/2026,transportation,Taxi,500,Taxi to station
469,4/12/2026,others,Stationery,200,Office supplies
470,4/13/2026,food,Groceries,1600,Weekly grocery shopping
471,4/14/2026,health,Medicines,700,Prescription medicine
472,4/15/2026,education,Online Course,2000,Enrolled in coding course
473,4/16/2026,entertainment,Concert,900,Live music event
474,4/17/2026,lifestyle,Shoes,1200,Bought sneakers
475,4/18/2026,saving and investment,Fixed Deposit,3000,Deposited in savings
476,4/19/2026,housing,Electricity Bill,1000,Monthly electricity bill
477,4/20/2026,transportation,Fuel,1100,Fuel for car
478,4/21/2026,others,Charity,600,Donation to NGO
479,4/22/2026,food,Restaurant,800,Dinner at local restaurant
480,4/23/2026,health,Yoga Classes,1000,Monthly yoga membership
481,4/24/2026,education,Books,1200,Academic books
482,4/25/2026,entertainment,Theater,700,Theater tickets
483,4/26/2026,lifestyle,Clothing,1800,Bought winter clothes
484,4/27/2026,saving and investment,Stocks,2500,Invested in stocks
485,4/28/2026,housing,Utilities,1200,Water and electricity bill
486,4/29/2026,transportation,Bus Fare,200,Bus to Kathmandu
487,4/30/2026,others,Gift,500,Gift for friend
